symbol,name
MAXHEALTH.NS,Max Healthcare Institute Limited
SOLARINDS.NS,Solar Industries India Limited
MOTHERSON.NS,Samvardhana Motherson International Limited
INDUSTOWER.NS,Indus Towers Limited
POLYCAB.NS,Polycab India Limited
OFSS.NS,Oracle Financial Services Software Limited
SRF.NS,SRF Limited
IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited
COLPAL.NS,Colgate Palmolive (India) Limited
LUPIN.NS,Lupin Limited
NAUKRI.NS,Info Edge (India) Limited
TIINDIA.NS,Tube Investments of India Limited
INDIANB.NS,Indian Bank
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
BERGEPAINT.NS,Berger Paints (I) Limited
YESBANK.NS,Yes Bank Limited
TORNTPOWER.NS,Torrent Power Limited
OIL.NS,Oil India Limited
SBICARD.NS,SBI Cards and Payment Services Limited
IDEA.NS,Vodafone Idea Limited
MARICO.NS,Marico Limited
GODREJPROP.NS,Godrej Properties Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
UCOBANK.NS,UCO Bank
BANKINDIA.NS,Bank of India
PERSISTENT.NS,Persistent Systems Limited
MUTHOOTFIN.NS,Muthoot Finance Limited
NMDC.NS,NMDC Limited
ALKEM.NS,Alkem Laboratories Limited
PIIND.NS,PI Industries Limited
LTTS.NS,L&T Technology Services Limited
GICRE.NS,General Insurance Corporation of India
TATACOMM.NS,Tata Communications Limited
JSL.NS,Jindal Stainless Limited
MRF.NS,MRF Limited
SAIL.NS,Steel Authority of India Limited
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited
SUZLON.NS,Suzlon Energy Limited
LINDEINDIA.NS,Linde India Limited
SUPREMEIND.NS,Supreme Industries Limited
CONCOR.NS,Container Corporation of India Limited
OBEROIRLTY.NS,Oberoi Realty Limited
ASTRAL.NS,Astral Limited
IDFCFIRSTB.NS,IDFC First Bank Limited
RVNL.NS,Rail Vikas Nigam Limited
BHARATFORG.NS,Bharat Forge Limited
CENTRALBK.NS,Central Bank of India
JSWINFRA.NS,JSW Infrastructure Limited
POLICYBZR.NS,PB Fintech Limited
ASHOKLEY.NS,Ashok Leyland Limited
THERMAX.NS,Thermax Limited
PHOENIXLTD.NS,The Phoenix Mills Limited
GMRINFRA.NS,GMR Airports Infrastructure Limited
TATAELXSI.NS,Tata Elxsi Limited
PATANJALI.NS,Patanjali Foods Limited
SJVN.NS,SJVN Limited
PRESTIGE.NS,Prestige Estates Projects Limited
ACC.NS,ACC Limited
NYKAA.NS,FSN E-Commerce Ventures Limited
SUNDARMFIN.NS,Sundaram Finance Limited
UBL.NS,United Breweries Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
MPHASIS.NS,MphasiS Limited
BALKRISIND.NS,Balkrishna Industries Limited
DIXON.NS,Dixon Technologies (India) Limited
MAHABANK.NS,Bank of Maharashtra
KALYANKJIL.NS,Kalyan Jewellers India Limited
SCHAEFFLER.NS,Schaeffler India Limited
AWL.NS,Adani Wilmar Limited
APLAPOLLO.NS,APL Apollo Tubes Limited
TATATECH.NS,Tata Technologies Limited
SONACOMS.NS,Sona BLW Precision Forgings Limited
KPITTECH.NS,KPIT Technologies Limited
FACT.NS,Fertilizers and Chemicals Travancore Limited
PSB.NS,Punjab & Sind Bank
PETRONET.NS,Petronet LNG Limited
L&TFH.NS,L&T Finance Holdings Limited
UNOMINDA.NS,UNO Minda Limited
PAGEIND.NS,Page Industries Limited
MRPL.NS,Mangalore Refinery and Petrochemicals Limited
AUBANK.NS,AU Small Finance Bank Limited
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited
HUDCO.NS,Housing & Urban Development Corporation Limited
GUJGASLTD.NS,Gujarat Gas Limited
NIACL.NS,The New India Assurance Company Limited
CRISIL.NS,CRISIL Limited
AIAENG.NS,AIA Engineering Limited
FEDERALBNK.NS,The Federal Bank  Limited
IREDA.NS,Indian Renewable Energy Development Agency Limited
VOLTAS.NS,Voltas Limited
DALBHARAT.NS,Dalmia Bharat Limited
POONAWALLA.NS,Poonawalla Fincorp Limited
MEDANTA.NS,Global Health Limited
IRB.NS,IRB Infrastructure Developers Limited
3MINDIA.NS,3M India Limited
MFSL.NS,Max Financial Services Limited
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited
UPL.NS,UPL Limited
HONAUT.NS,Honeywell Automation India Limited
BSE.NS,BSE Limited
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
COFORGE.NS,Coforge Limited
LICHSGFIN.NS,LIC Housing Finance Limited
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited
DELHIVERY.NS,Delhivery Limited
BDL.NS,Bharat Dynamics Limited
STARHEALTH.NS,Star Health and Allied Insurance Company Limited
FORTIS.NS,Fortis Healthcare Limited
BIOCON.NS,Biocon Limited
COROMANDEL.NS,Coromandel International Limited
NLCINDIA.NS,NLC India Limited
TATAINVEST.NS,Tata Investment Corporation Limited
JKCEMENT.NS,JK Cement Limited
IPCALAB.NS,IPCA Laboratories Limited
METROBRAND.NS,Metro Brands Limited
KEI.NS,KEI Industries Limited
ESCORTS.NS,Escorts Kubota Limited
LLOYDSME.NS,Lloyds Metals And Energy Limited
GLAND.NS,Gland Pharma Limited
IGL.NS,Indraprastha Gas Limited
NAM-INDIA.NS,Nippon Life India Asset Management Limited
APOLLOTYRE.NS,Apollo Tyres Limited
JUBLFOOD.NS,Jubilant Foodworks Limited
POWERINDIA.NS,Hitachi Energy India Limited
MSUMI.NS,Motherson Sumi Wiring India Limited
BANDHANBNK.NS,Bandhan Bank Limited
DEEPAKNTR.NS,Deepak Nitrite Limited
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Limited
AJANTPHARM.NS,Ajanta Pharma Limited
KPRMILL.NS,K.P.R. Mill Limited
SYNGENE.NS,Syngene International Limited
EIHOTEL.NS,EIH Limited
APARINDS.NS,Apar Industries Limited
NATIONALUM.NS,National Aluminium Company Limited
TATACHEM.NS,Tata Chemicals Limited
GLENMARK.NS,Glenmark Pharmaceuticals Limited
HINDCOPPER.NS,Hindustan Copper Limited
GODREJIND.NS,Godrej Industries Limited
NH.NS,Narayana Hrudayalaya Ltd.
BLUESTARCO.NS,Blue Star Limited
EXIDEIND.NS,Exide Industries Limited
ENDURANCE.NS,Endurance Technologies Limited
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited
PAYTM.NS,One 97 Communications Limited
ANGELONE.NS,Angel One Limited
MOTILALOFS.NS,Motilal Oswal Financial Services Limited
ITI.NS,ITI Limited
360ONE.NS,360 ONE WAM LIMITED
CARBORUNIV.NS,Carborundum Universal Limited
AARTIIND.NS,Aarti Industries Limited
SUNTV.NS,Sun TV Network Limited
KIOCL.NS,KIOCL Limited
ISEC.NS,ICICI Securities Limited
RADICO.NS,Radico Khaitan Limited
SUNDRMFAST.NS,Sundram Fasteners Limited
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED
COCHINSHIP.NS,Cochin Shipyard Limited
HATSUN.NS,Hatsun Agro Product Limited
MANYAVAR.NS,Vedant Fashions Limited
CYIENT.NS,Cyient Limited
GET&D.NS,GE T&D India Limited
BRIGADE.NS,Brigade Enterprises Limited
TIMKEN.NS,Timken India Limited
NBCC.NS,NBCC (India) Limited
JBMA.NS,JBM Auto Limited
GILLETTE.NS,Gillette India Limited
KANSAINER.NS,Kansai Nerolac Paints Limited
LAURUSLABS.NS,Laurus Labs Limited
GRINDWELL.NS,Grindwell Norton Limited
FIVESTAR.NS,Five-Star Business Finance Limited
SWANENERGY.NS,Swan Energy Limited
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
IRCON.NS,Ircon International Limited
SKFINDIA.NS,SKF India Limited
BSOFT.NS,BIRLASOFT LIMITED
ASTERDM.NS,Aster DM Healthcare Limited
RELAXO.NS,Relaxo Footwears Limited
SONATSOFTW.NS,Sonata Software Limited
GSPL.NS,Gujarat State Petronet Limited
RATNAMANI.NS,Ratnamani Metals & Tubes Limited
ABFRL.NS,Aditya Birla Fashion and Retail Limited
APLLTD.NS,Alembic Pharmaceuticals Limited
PFIZER.NS,Pfizer Limited
RAMCOCEM.NS,The Ramco Cements Limited
SIGNATURE.NS,Signatureglobal (India) Limited
PEL.NS,Piramal Enterprises Limited
ELGIEQUIP.NS,Elgi Equipments Limited
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.
EMAMILTD.NS,Emami Limited
SANOFI.NS,Sanofi India Limited
JYOTICNC.NS,Jyoti CNC Automation Limited
TRIDENT.NS,Trident Limited
CASTROLIND.NS,Castrol India Limited
KAJARIACER.NS,Kajaria Ceramics Limited
KAYNES.NS,Kaynes Technology India Limited
CENTURYTEX.NS,Century Textiles & Industries Limited
CHALET.NS,Chalet Hotels Limited
DEVYANI.NS,Devyani International Limited
CDSL.NS,Central Depository Services (India) Limited
KEC.NS,KEC International Limited
SCHNEIDER.NS,Schneider Electric Infrastructure Limited
IDFC.NS,IDFC Limited
BATAINDIA.NS,Bata India Limited
CIEINDIA.NS,CIE Automotive India Limited
KPIL.NS,Kalpataru Projects International Limited
RRKABEL.NS,R R Kabel Limited
SUMICHEM.NS,Sumitomo Chemical India Limited
NATCOPHARM.NS,Natco Pharma Limited
SUVENPHAR.NS,Suven Pharmaceuticals Limited
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
TRITURBINE.NS,Triveni Turbine Limited
PPLPHARMA.NS,Piramal Pharma Limited
INOXWIND.NS,Inox Wind Limited
ACE.NS,Action Construction Equipment Limited
ATUL.NS,Atul Limited
CGCL.NS,Capri Global Capital Limited
TVSHLTD.NS,TVS Holdings Limited
SHYAMMETL.NS,Shyam Metalics and Energy Limited
NUVAMA.NS,Nuvama Wealth Management Limited
KIMS.NS,Krishna Institute of Medical Sciences Limited
CELLO.NS,Cello World Limited
PNBHOUSING.NS,PNB Housing Finance Limited
REDINGTON.NS,Redington Limited
LAXMIMACH.NS,Lakshmi Machine Works Limited
JYOTHYLAB.NS,Jyothy Labs Limited
CESC.NS,CESC Limited
GODFRYPHLP.NS,Godfrey Phillips India Limited
NSLNISP.NS,NMDC Steel Limited
RITES.NS,RITES Limited
CONCORDBIO.NS,Concord Biotech Limited
INDIAMART.NS,Indiamart Intermesh Limited
AEGISCHEM.NS,Aegis Logistics Limited
OLECTRA.NS,Olectra Greentech Limited
WHIRLPOOL.NS,Whirlpool of India Limited
ANANDRATHI.NS,Anand Rathi Wealth Limited
NAVINFLUOR.NS,Navin Fluorine International Limited
JWL.NS,Jupiter Wagons Limited
APTUS.NS,Aptus Value Housing Finance India Limited
FINCABLES.NS,Finolex Cables Limited
FINPIPE.NS,Finolex Industries Limited
POLYMED.NS,Poly Medicure Limited
VINATIORGA.NS,Vinati Organics Limited
INTELLECT.NS,Intellect Design Arena Limited
JAIBALAJI.NS,Jai Balaji Industries Limited
J&KBANK.NS,The Jammu & Kashmir Bank Limited
KARURVYSYA.NS,Karur Vysya Bank Limited
BLUEDART.NS,Blue Dart Express Limited
MANAPPURAM.NS,Manappuram Finance Limited
AFFLE.NS,Affle (India) Limited
NCC.NS,NCC Limited
RBLBANK.NS,RBL Bank Limited
TTML.NS,Tata Teleservices (Maharashtra) Limited
BASF.NS,BASF India Limited
VGUARD.NS,V-Guard Industries Limited
CAMS.NS,Computer Age Management Services Limited
GESHIP.NS,The Great Eastern Shipping Company Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CLEAN.NS,Clean Science and Technology Limited
JINDALSAW.NS,Jindal Saw Limited
FSL.NS,Firstsource Solutions Limited
ZENSARTECH.NS,Zensar Technologies Limited
SOBHA.NS,Sobha Limited
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
DATAPATTNS.NS,Data Patterns (India) Limited
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
WELCORP.NS,Welspun Corp Limited
MGL.NS,Mahanagar Gas Limited
KSB.NS,Ksb Limited
WELSPUNLIV.NS,Welspun Living Limited
HSCL.NS,Himadri Speciality Chemical Limited
DCMSHRIRAM.NS,DCM Shriram Limited
ASTRAZEN.NS,AstraZeneca Pharma India Limited
ZEEL.NS,Zee Entertainment Enterprises Limited
BEML.NS,BEML Limited
HFCL.NS,HFCL Limited
RAINBOW.NS,Rainbow Childrens Medicare Limited
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited
HONASA.NS,Honasa Consumer Limited
ASAHIINDIA.NS,Asahi India Glass Limited
PVRINOX.NS,PVR INOX Limited
ARE&M.NS,Amara Raja Energy & Mobility Limited
IIFL.NS,IIFL Finance Limited
BLS.NS,BLS International Services Limited
ALOKINDS.NS,Alok Industries Limited
VTL.NS,Vardhman Textiles Limited
GRINFRA.NS,G R Infraprojects Limited
HBLPOWER.NS,HBL Power Systems Limited
WESTLIFE.NS,WESTLIFE FOODWORLD LIMITED
RKFORGE.NS,Ramkrishna Forgings Limited
KIRLOSENG.NS,Kirloskar Oil Engines Limited
TITAGARH.NS,TITAGARH RAIL SYSTEMS LIMITED
FINEORG.NS,Fine Organic Industries Limited
AMBER.NS,Amber Enterprises India Limited
BIKAJI.NS,Bikaji Foods International Limited
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited
RAYMOND.NS,Raymond Limited
IEX.NS,Indian Energy Exchange Limited
SPARC.NS,Sun Pharma Advanced Research Company Limited
GRAPHITE.NS,Graphite India Limited
SPLPETRO.NS,Supreme Petrochem Limited
RAILTEL.NS,Railtel Corporation Of India Limited
INGERRAND.NS,Ingersoll Rand (India) Limited
ECLERX.NS,eClerx Services Limited
JUNIPER.NS,Juniper Hotels Limited
ERIS.NS,Eris Lifesciences Limited
RHIM.NS,RHI MAGNESITA INDIA LIMITED
ENGINERSIN.NS,Engineers India Limited
MAHSEAMLES.NS,Maharashtra Seamless Limited
HAPPSTMNDS.NS,Happiest Minds Technologies Limited
JKTYRE.NS,JK Tyre & Industries Limited
TEJASNET.NS,Tejas Networks Limited
PNCINFRA.NS,PNC Infratech Limited
NEWGEN.NS,Newgen Software Technologies Limited
INOXINDIA.NS,INOX India Limited
TANLA.NS,Tanla Platforms Limited
BIRLACORPN.NS,Birla Corporation Limited
BBTC.NS,Bombay Burmah Trading Corporation Limited
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
NUVOCO.NS,Nuvoco Vistas Corporation Limited
AKZOINDIA.NS,Akzo Nobel India Limited
CEATLTD.NS,CEAT Limited
RPOWER.NS,Reliance Power Limited
RELINFRA.NS,Reliance Infrastructure Limited
GPIL.NS,Godawari Power And Ispat limited
ELECON.NS,Elecon Engineering Company Limited
ANANTRAJ.NS,Anant Raj Limited
ELECTCAST.NS,Electrosteel Castings Limited
DBREALTY.NS,D B Realty Limited
EQUITASBNK.NS,Equitas Small Finance Bank Limited
KFINTECH.NS,Kfin Technologies Limited
BAJAJELEC.NS,Bajaj Electricals Limited
LATENTVIEW.NS,Latent View Analytics Limited
JPPOWER.NS,Jaiprakash Power Ventures Limited
GRANULES.NS,Granules India Limited
AAVAS.NS,Aavas Financiers Limited
AETHER.NS,Aether Industries Limited
UTIAMC.NS,UTI Asset Management Company Limited
LEMONTREE.NS,Lemon Tree Hotels Limited
JKLAKSHMI.NS,JK Lakshmi Cement Limited
GPPL.NS,Gujarat Pipavav Port Limited
SFL.NS,Sheela Foam Limited
PCBL.NS,PCBL LIMITED
MAPMYINDIA.NS,C.E. Info Systems Limited
ROUTE.NS,ROUTE MOBILE LIMITED
CANFINHOME.NS,Can Fin Homes Limited
CUB.NS,City Union Bank Limited
SAPPHIRE.NS,Sapphire Foods India Limited
CAPLIPOINT.NS,Caplin Point Laboratories Limited
MINDACORP.NS,Minda Corporation Limited
MMTC.NS,MMTC Limited
PTCIL.NS,PTC Industries Limited
IFCI.NS,IFCI Limited
PRAJIND.NS,Praj Industries Limited
VOLTAMP.NS,Voltamp Transformers Limited
SCI.NS,Shipping Corporation Of India Limited
USHAMART.NS,Usha Martin Limited
EIDPARRY.NS,EID Parry India Limited
RTNINDIA.NS,RattanIndia Enterprises Limited
ANURAS.NS,Anupam Rasayan India Limited
GLS.NS,Glenmark Life Sciences Limited
DOMS.NS,DOMS Industries Limited
INFIBEAM.NS,Infibeam Avenues Limited
FORCEMOT.NS,FORCE MOTORS LTD
ZYDUSWELL.NS,Zydus Wellness Limited
STARCEMENT.NS,Star Cement Limited
GODREJAGRO.NS,Godrej Agrovet Limited
TTKPRESTIG.NS,TTK Prestige Limited
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited
KPIGREEN.NS,KPI Green Energy Limited
CRAFTSMAN.NS,Craftsman Automation Limited
MAHLIFE.NS,Mahindra Lifespace Developers Limited
REDTAPE.NS,Redtape Limited
JUBLPHARMA.NS,Jubilant Pharmova Limited
NETWEB.NS,Netweb Technologies India Limited
NETWORK18.NS,Network18 Media & Investments Limited
PRSMJOHNSN.NS,Prism Johnson Limited
METROPOLIS.NS,Metropolis Healthcare Limited
CERA.NS,Cera Sanitaryware Limited
SBFC.NS,SBFC Finance Limited
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
KIRLOSBROS.NS,Kirloskar Brothers Limited
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited
SHRIPISTON.NS,Shriram Pistons & Rings Limited
RENUKA.NS,Shree Renuka Sugars Limited
RATEGAIN.NS,Rategain Travel Technologies Limited
WOCKPHARMA.NS,Wockhardt Limited
SAFARI.NS,Safari Industries (India) Limited
HAPPYFORGE.NS,Happy Forgings Limited
TECHNOE.NS,Techno Electric & Engineering Company Limited
SHOPERSTOP.NS,Shoppers Stop Limited
IBULHSGFIN.NS,Indiabulls Housing Finance Limited
SYRMA.NS,Syrma SGS Technology Limited
TEGA.NS,Tega Industries Limited
ACI.NS,Archean Chemical Industries Limited
MEDPLUS.NS,Medplus Health Services Limited
MAHSCOOTER.NS,Maharashtra Scooters Limited
NEULANDLAB.NS,Neuland Laboratories Limited
AZAD.NS,Azad Engineering Limited
ESABINDIA.NS,Esab India Limited
GALAXYSURF.NS,Galaxy Surfactants Limited
ZENTEC.NS,Zen Technologies Limited
JSWHL.NS,JSW Holdings Limited
TV18BRDCST.NS,TV18 Broadcast Limited
HOMEFIRST.NS,Home First Finance Company India Limited
MHRIL.NS,Mahindra Holidays & Resorts India Limited
POWERMECH.NS,Power Mech Projects Limited
KTKBANK.NS,The Karnataka Bank Limited
JLHL.NS,Jupiter Life Line Hospitals Limited
MASTEK.NS,Mastek Limited
PGHL.NS,Procter & Gamble Health Limited
THOMASCOOK.NS,Thomas Cook  (India)  Limited
CCL.NS,CCL Products (India) Limited
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
RAJESHEXPO.NS,Rajesh Exports Limited
QUESS.NS,Quess Corp Limited
VARROC.NS,Varroc Engineering Limited
TMB.NS,Tamilnad Mercantile Bank Limited
MANINFRA.NS,Man Infraconstruction Limited
EASEMYTRIP.NS,Easy Trip Planners Limited
VIPIND.NS,VIP Industries Limited
IONEXCHANG.NS,ION Exchange (India) Limited
RESPONIND.NS,Responsive Industries Limited
MIDHANI.NS,Mishra Dhatu Nigam Limited
EMIL.NS,Electronics Mart India Limited
GAEL.NS,Gujarat Ambuja Exports Limited
BALRAMCHIN.NS,Balrampur Chini Mills Limited
STAR.NS,Strides Pharma Science Limited
JUBLINGREA.NS,Jubilant Ingrevia Limited
SARDAEN.NS,Sarda Energy & Minerals Limited
JMFINANCIL.NS,JM Financial Limited
SOUTHBANK.NS,The South Indian Bank Limited
HEG.NS,HEG Limited
CHEMPLASTS.NS,Chemplast Sanmar Limited
ARVIND.NS,Arvind Limited
RCF.NS,Rashtriya Chemicals and Fertilizers Limited
NAVA.NS,NAVA LIMITED
ALLCARGO.NS,Allcargo Logistics Limited
ICIL.NS,Indo Count Industries Limited
IWEL.NS,Inox Wind Energy Limited
KNRCON.NS,KNR Constructions Limited
FDC.NS,FDC Limited
RELIGARE.NS,Religare Enterprises Limited
GRAVITA.NS,Gravita India Limited
RUSTOMJEE.NS,Keystone Realtors Limited
MARKSANS.NS,Marksans Pharma Limited
NIITMTS.NS,NIIT Learning Systems Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
JUSTDIAL.NS,Just Dial Limited
TRIVENI.NS,Triveni Engineering & Industries Limited
TVSSCS.NS,TVS Supply Chain Solutions Limited
GARFIBRES.NS,Garware Technical Fibres Limited
VESUVIUS.NS,Vesuvius India Limited
SAREGAMA.NS,Saregama India Limited
DBL.NS,Dilip Buildcon Limited
INDIASHLTR.NS,India Shelter Finance Corporation Limited
BLUEJET.NS,Blue Jet Healthcare Limited
BALAMINES.NS,Balaji Amines Limited
ISGEC.NS,Isgec Heavy Engineering Limited
AVANTIFEED.NS,Avanti Feeds Limited
INDIACEM.NS,The India Cements Limited
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
CAMPUS.NS,Campus Activewear Limited
LTFOODS.NS,LT Foods Limited
VIJAYA.NS,Vijaya Diagnostic Centre Limited
GOCOLORS.NS,Go Fashion (India) Limited
BORORENEW.NS,BOROSIL RENEWABLES LIMITED
LXCHEM.NS,Laxmi Organic Industries Limited
GREENLAM.NS,Greenlam Industries Limited
DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited
CMSINFO.NS,CMS Info Systems Limited
KRBL.NS,KRBL Limited
ETHOSLTD.NS,Ethos Limited
TEXRAIL.NS,Texmaco Rail & Engineering Limited
TCI.NS,Transport Corporation of India Limited
IBREALEST.NS,Indiabulls Real Estate Limited
JINDWORLD.NS,Jindal Worldwide Limited
EMUDHRA.NS,eMudhra Limited
PDSL.NS,PDS Limited
GANESHHOUC.NS,Ganesh Housing Corporation Limited
CSBBANK.NS,CSB Bank Limited
SHAREINDIA.NS,Share India Securities Limited
IFBIND.NS,IFB Industries Limited
PRINCEPIPE.NS,Prince Pipes And Fittings Limited
VAIBHAVGBL.NS,Vaibhav Global Limited
ARVINDFASN.NS,Arvind Fashions Limited
EDELWEISS.NS,Edelweiss Financial Services Limited
SENCO.NS,Senco Gold Limited
SPANDANA.NS,Spandana Sphoorty Financial Limited
INDIGOPNTS.NS,Indigo Paints Limited
GENUSPOWER.NS,Genus Power Infrastructures Limited
SYMPHONY.NS,Symphony Limited
HGINFRA.NS,H.G. Infra Engineering Limited
TIPSINDLTD.NS,TIPS Industries Limited
SIS.NS,SIS LIMITED
MSTCLTD.NS,Mstc Limited
NESCO.NS,Nesco Limited
SANGHVIMOV.NS,Sanghvi Movers Limited
SANDUMA.NS,Sandur Manganese & Iron Ores Limited
UJJIVAN.NS,Ujjivan Financial Services Limited
ITDCEM.NS,ITD Cementation India Limited
CYIENTDLM.NS,Cyient DLM Limited
EPL.NS,EPL Limited
SUPRAJIT.NS,Suprajit Engineering Limited
SUNTECK.NS,Sunteck Realty Limited
HEMIPROP.NS,Hemisphere Properties India Limited
MOIL.NS,MOIL Limited
TIMETECHNO.NS,Time Technoplast Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
TRIL.NS,Transformers And Rectifiers (India) Limited
WONDERLA.NS,Wonderla Holidays Limited
ASKAUTOLTD.NS,ASK Automotive Limited
